,LocationID,PUcount,DOcount,TOTALcount,zone,borough,X,Y
221,222,0.0,2.0,2.0,Starrett City,Brooklyn,-73.8821375169092,40.6468719097136
222,223,3.0,70.0,73.0,Steinway,Queens,-73.906671830047,40.778193328200494
223,224,20.0,145.0,165.0,Stuy Town/Peter Cooper Village,Manhattan,-73.9778420751297,40.7317281591558
224,225,1.0,39.0,40.0,Stuyvesant Heights,Brooklyn,-73.9314448522357,40.6887850672001
225,226,12.0,79.0,91.0,Sunnyside,Queens,-73.9293212827563,40.7352734102809
226,227,0.0,6.0,6.0,Sunset Park East,Brooklyn,-74.00679455179291,40.641597637016794
227,228,1.0,11.0,12.0,Sunset Park West,Brooklyn,-74.009960471569,40.653618206901896
228,229,151.0,542.0,693.0,Sutton Place/Turtle Bay North,Manhattan,-73.9651741989212,40.756589298489295
229,230,257.0,964.0,1221.0,Times Sq/Theatre District,Manhattan,-73.9841761608222,40.759844740029294
230,231,132.0,515.0,647.0,TriBeCa/Civic Center,Manhattan,-74.00671162438991,40.718695641007706
231,232,14.0,146.0,160.0,Two Bridges/Seward Park,Manhattan,-73.98230670494641,40.7153860841071
232,233,94.0,403.0,497.0,UN/Turtle Bay South,Manhattan,-73.97125597712959,40.7491720982236
233,234,251.0,773.0,1024.0,Union Sq,Manhattan,-73.9904776189691,40.7403134645878
234,235,0.0,3.0,3.0,University Heights/Morris Heights,Bronx,-73.9149683294755,40.8535029301211
235,236,329.0,1293.0,1622.0,Upper East Side North,Manhattan,-73.9569723853064,40.7804914757347
236,237,332.0,1173.0,1505.0,Upper East Side South,Manhattan,-73.9656914919459,40.7685418846646
237,238,153.0,652.0,805.0,Upper West Side North,Manhattan,-73.97281451745029,40.7917662467824
238,239,176.0,829.0,1005.0,Upper West Side South,Manhattan,-73.97827334184859,40.7841073645538
239,240,0.0,1.0,1.0,Van Cortlandt Park,Bronx,-73.8790671945698,40.8947464191253
240,241,0.0,2.0,2.0,Van Cortlandt Village,Bronx,-73.8964501437395,40.8759758476571
241,242,0.0,5.0,5.0,Van Nest/Morris Park,Bronx,-73.8398789614734,40.8495965844009
242,243,1.0,58.0,59.0,Washington Heights North,Manhattan,-73.9328243182356,40.858670286631295
243,244,10.0,113.0,123.0,Washington Heights South,Manhattan,-73.9416668140575,40.8412186698664
244,245,0.0,0.0,0.0,West Brighton,Staten Island,-74.10317060675209,40.628478475102
245,246,94.0,446.0,540.0,West Chelsea/Hudson Yards,Manhattan,-74.004512572075,40.7524372519647
246,247,0.0,11.0,11.0,West Concourse,Bronx,-73.9250591826957,40.829211474507204
247,248,1.0,2.0,3.0,West Farms/Bronx River,Bronx,-73.8710104534108,40.834677199930795
248,249,133.0,461.0,594.0,West Village,Manhattan,-74.00249690862721,40.734611555981395
249,250,0.0,0.0,0.0,Westchester Village/Unionport,Bronx,-73.84947867538979,40.8324906886295
250,251,0.0,1.0,1.0,Westerleigh,Staten Island,-74.1232368409925,40.619605516153705
251,252,0.0,4.0,4.0,Whitestone,Queens,-73.8153942986072,40.788360648021005
252,253,0.0,0.0,0.0,Willets Point,Queens,-73.84147454859091,40.760086336844395
253,254,0.0,1.0,1.0,Williamsbridge/Olinville,Bronx,-73.85826965181771,40.8832233292992
254,255,7.0,72.0,79.0,Williamsburg (North Side),Brooklyn,-73.9571337756889,40.7188341922346
255,256,9.0,73.0,82.0,Williamsburg (South Side),Brooklyn,-73.9591078838642,40.7109771296904
256,257,0.0,12.0,12.0,Windsor Terrace,Brooklyn,-73.9772393111852,40.6536644952118
257,258,0.0,11.0,11.0,Woodhaven,Queens,-73.8566390530717,40.6901263678129
258,259,0.0,2.0,2.0,Woodlawn/Wakefield,Bronx,-73.85635111728891,40.8991027731978
259,260,4.0,38.0,42.0,Woodside,Queens,-73.9037132789432,40.7467977944692
260,261,45.0,150.0,195.0,World Trade Center,Manhattan,-74.0129193755126,40.708975618892005
261,262,102.0,446.0,548.0,Yorkville East,Manhattan,-73.94582981800791,40.776534228995104
262,263,117.0,548.0,665.0,Yorkville West,Manhattan,-73.9512079916544,40.7784958687768
